job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,experience_min_yrs,experience_max_yrs,salary_min_lpa,salary_max_lpa,salary_midpoint_lpa,salary_disclosed,work_mode,company_size_bucket,primary_city,skill_domain,days_since_posted,is_senior,is_fresher_friendly,experience_tier,salary_tier
17408,Business Analyst and Process Engineer Lead,Hitachi Digital Services,3.5,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Business Analyst,5-8 Yrs,5.0,8.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Kolkata,Business Intelligence,21.0,True,False,Mid (3-5 Yrs),Undisclosed
17409,Business Analyst and Process Engineer Lead,Hitachi,3.9,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Business Analyst,2-5 Yrs,2.0,5.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Kolkata,Business Intelligence,21.0,True,False,Junior (0-2 Yrs),Undisclosed
17410,Technical Business Analyst,Ascendion Engineering,3.6,Bengaluru,Bangalore,Business Analyst,8-13 Yrs,8.0,13.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,0.0,False,False,Senior (6-8 Yrs),Undisclosed
17411,SAP BPC Consultant(Business Analyst-IT Financial Planning),Flora Food Group,2.3,Hybrid - Bengaluru(ITPL),Bangalore,Business Analyst,7-12 Yrs,7.0,12.0,0.0,0.0,0.0,False,Hybrid,Small/Startup (<100),Bangalore,Business Intelligence,6.0,False,False,Senior (6-8 Yrs),Undisclosed
17412,Opening For Senior Business analyst,Tekskills India Pvt ltd,3.6,Bengaluru,Bangalore,Business Analyst,8-13 Yrs,8.0,13.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,7.0,True,False,Senior (6-8 Yrs),Undisclosed
17413,Opening For Senior Business Analyst with Banking domain,Tekskills India Pvt ltd,3.6,Bengaluru,Bangalore,Business Analyst,15-20 Yrs,15.0,20.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,7.0,True,False,Lead/Architect (9+ Yrs),Undisclosed
17414,Senior Business Analyst,Tekskills india,3.6,Hybrid - Bengaluru,Bangalore,Business Analyst,5-10 Yrs,5.0,10.0,0.0,0.0,0.0,False,Hybrid,Small/Startup (<100),Bangalore,Business Intelligence,7.0,True,False,Mid (3-5 Yrs),Undisclosed
17415,Senior Business Analyst,Visara Human Capital Services,3.6,"Hybrid - Hyderabad, Pune, Bengaluru",Bangalore,Business Analyst,10-17 Yrs,0.0,0.0,0.0,0.0,0.0,False,Hybrid,Large (1000+),Hyderabad,Business Intelligence,7.0,True,True,Fresher,Undisclosed
17416,Senior Business Analyst,illumifin,3.6,"Hybrid - Hyderabad, Pune, Bengaluru",Bangalore,Business Analyst,8-13 Yrs,8.0,13.0,5.0,15.0,10.0,True,Hybrid,Small/Startup (<100),Hyderabad,Business Intelligence,7.0,True,False,Senior (6-8 Yrs),Junior (3-6 LPA)
17417,Senior Business Analyst - SAP OTC,Levi Strauss,4.2,Bengaluru,Bangalore,Business Analyst,10-15 Yrs,0.0,0.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,7.0,True,True,Fresher,Undisclosed
17418,Senior Business Analyst Dynamics 365,MSC Technology,4.0,"Chennai, Bengaluru",Bangalore,Business Analyst,4-9 Yrs,4.0,9.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Chennai,Business Intelligence,7.0,True,False,Mid (3-5 Yrs),Undisclosed
17419,Senior Business Analyst Dynamics 365,MSC Technology,4.0,Bengaluru,Bangalore,Business Analyst,4-9 Yrs,4.0,9.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,7.0,True,False,Mid (3-5 Yrs),Undisclosed
17420,TPO/Senior Business Analyst,Krazymantra It Solutions,3.6,Bengaluru,Bangalore,Business Analyst,11-15 Yrs,11.0,15.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,14.0,True,False,Lead/Architect (9+ Yrs),Undisclosed
17421,IS Business Analyst Identity & Access Management (IAM),ABB Ltd,4.0,Bengaluru,Bangalore,Business Analyst,2-5 Yrs,2.0,5.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,7.0,False,False,Junior (0-2 Yrs),Undisclosed
17422,SW Business Analysis Associate Manager,Accenture,3.7,Bengaluru,Bangalore,Business Analyst,10-14 Yrs,0.0,0.0,0.0,0.0,0.0,False,On-site,Large (1000+),Bangalore,Business Intelligence,14.0,True,True,Fresher,Undisclosed
17423,EY is Hiring For Business Analyst - Global Fraud,EY,3.4,"Hyderabad, Bengaluru",Bangalore,Business Analyst,5-10 Yrs,5.0,10.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Hyderabad,Business Intelligence,14.0,False,False,Mid (3-5 Yrs),Undisclosed
17424,Logistics Business Analyst,Cognizant,3.7,"Hybrid - Pune, Chennai, Bengaluru",Bangalore,Business Analyst,5-10 Yrs,5.0,10.0,0.0,0.0,0.0,False,Hybrid,Large (1000+),Pune,Business Intelligence,14.0,False,False,Mid (3-5 Yrs),Undisclosed
17425,Business Analyst (Global Banking) - Digital Transformation,Capco,3.8,Bengaluru,Bangalore,Business Analyst,8-13 Yrs,8.0,13.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,14.0,False,False,Senior (6-8 Yrs),Undisclosed
17426,Business Analyst in Ecommerce,Tech Mahindra,3.3,"Hyderabad, Chennai, Bengaluru",Bangalore,Business Analyst,8-13 Yrs,8.0,13.0,0.0,0.0,0.0,False,On-site,Large (1000+),Hyderabad,Business Intelligence,21.0,False,False,Senior (6-8 Yrs),Undisclosed
17427,Expert Business Analyst,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,3.9,"Pune, Gurugram, Bengaluru",Bangalore,Business Analyst,2-6 Yrs,2.0,6.0,0.0,0.0,0.0,False,On-site,Large (1000+),Pune,Business Intelligence,14.0,False,False,Junior (0-2 Yrs),Undisclosed
17428,ServiceNow ITOM Business Analyst,Capgemini,3.6,"Hybrid - Pune, Chennai, Bengaluru",Bangalore,Business Analyst,6-11 Yrs,6.0,11.0,0.0,0.0,0.0,False,Hybrid,Large (1000+),Pune,Business Intelligence,21.0,False,False,Senior (6-8 Yrs),Undisclosed
17429,ServiceNow Business Analyst,Schneider Electric India Pvt. Ltd.,4.1,Bengaluru,Bangalore,Business Analyst,3-5 Yrs,3.0,5.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,False,False,Mid (3-5 Yrs),Undisclosed
17430,"Principal, E2E Solution Business Analyst",Schneider Electric India Pvt. Ltd.,4.1,Bengaluru,Bangalore,Business Analyst,10-15 Yrs,0.0,0.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,True,True,Fresher,Undisclosed
17431,"Expert, ERP Business Analyst",Schneider Electric India Pvt. Ltd.,4.1,Bengaluru,Bangalore,Business Analyst,2-4 Yrs,2.0,4.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,False,False,Junior (0-2 Yrs),Undisclosed
17432,HTA Functional Business Analyst,Deloitte Consulting,3.6,"Hybrid - Bangalore Rural, Bengaluru",Bangalore,Business Analyst,8-13 Yrs,8.0,13.0,0.0,0.0,0.0,False,Hybrid,Large (1000+),Bangalore,Business Intelligence,21.0,False,False,Senior (6-8 Yrs),Undisclosed
17433,Urgent Opening For Oracle Fusion Finance Functional Business Analyst,Genpact,3.6,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",Bangalore,Business Analyst,4-9 Yrs,4.0,9.0,0.0,0.0,0.0,False,Hybrid,Large (1000+),Hyderabad,Business Intelligence,21.0,False,False,Mid (3-5 Yrs),Undisclosed
17434,Business Analyst - Banking Domain,Infosys,3.5,Bengaluru,Bangalore,Business Analyst,3-8 Yrs,3.0,8.0,0.0,0.0,0.0,False,On-site,Large (1000+),Bangalore,Business Intelligence,21.0,False,False,Mid (3-5 Yrs),Undisclosed
17435,Business Analyst - Banking Domain-BNPR,Infosys,3.5,Bengaluru,Bangalore,Business Analyst,7-11 Yrs,7.0,11.0,0.0,0.0,0.0,False,On-site,Large (1000+),Bangalore,Business Intelligence,21.0,False,False,Senior (6-8 Yrs),Undisclosed
17436,Business Analyst - Wealth Management-PWLT,Infosys,3.5,Bengaluru,Bangalore,Business Analyst,3-8 Yrs,3.0,8.0,0.0,0.0,0.0,False,On-site,Large (1000+),Bangalore,Business Intelligence,21.0,False,False,Mid (3-5 Yrs),Undisclosed
