job_id,role_category,skill,core_skill,job_title,company_name,scraped_city,experience_tier,work_mode,salary_midpoint_lpa,salary_disclosed,salary_tier
3448,Data Scientist,cloud storage,Cloud,GCP Senior Data Engineers,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3448,Data Scientist,spark sql,SQL,GCP Senior Data Engineers,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3449,Data Scientist,gcp,GCP,Data Engineering and Advanced Analytics Sr Manager,Hitachi Digital Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3449,Data Scientist,data engineering,Data Engineering,Data Engineering and Advanced Analytics Sr Manager,Hitachi Digital Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3449,Data Scientist,sql,SQL,Data Engineering and Advanced Analytics Sr Manager,Hitachi Digital Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3450,Data Scientist,sql,SQL,Big Data Engineer/Big Data Developer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3450,Data Scientist,pyspark,PySpark,Big Data Engineer/Big Data Developer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3450,Data Scientist,data engineering,Data Engineering,Big Data Engineer/Big Data Developer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3451,Data Scientist,data engineering,Data Engineering,Data Engineer,Capgemini,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3451,Data Scientist,sql,SQL,Data Engineer,Capgemini,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3451,Data Scientist,python,Python,Data Engineer,Capgemini,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3451,Data Scientist,pyspark,PySpark,Data Engineer,Capgemini,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3452,Data Scientist,pyspark,PySpark,Data Engineer,Cognizant,Chennai,Senior (6-8 Yrs),On-site,10.5,True,Mid (6-10 LPA)
3452,Data Scientist,aws,AWS,Data Engineer,Cognizant,Chennai,Senior (6-8 Yrs),On-site,10.5,True,Mid (6-10 LPA)
3452,Data Scientist,python,Python,Data Engineer,Cognizant,Chennai,Senior (6-8 Yrs),On-site,10.5,True,Mid (6-10 LPA)
3452,Data Scientist,data engineering,Data Engineering,Data Engineer,Cognizant,Chennai,Senior (6-8 Yrs),On-site,10.5,True,Mid (6-10 LPA)
3453,Data Scientist,power bi,Power BI,Data Engineer,Hexaware Technologies,Chennai,Lead/Architect (9+ Yrs),Hybrid,28.75,True,Leadership (20+ LPA)
3453,Data Scientist,data engineering,Data Engineering,Data Engineer,Hexaware Technologies,Chennai,Lead/Architect (9+ Yrs),Hybrid,28.75,True,Leadership (20+ LPA)
3454,Data Scientist,aws,AWS,"Snowflake Data Lead - Snowflake, Python, AWS",Hexaware Technologies,Chennai,Lead/Architect (9+ Yrs),Hybrid,0.0,False,Undisclosed
3454,Data Scientist,python,Python,"Snowflake Data Lead - Snowflake, Python, AWS",Hexaware Technologies,Chennai,Lead/Architect (9+ Yrs),Hybrid,0.0,False,Undisclosed
3455,Data Scientist,data analysis,Data Analysis,Internship Junior Data Analyst,Rezultize,Chennai,Fresher,On-site,0.0,False,Undisclosed
3455,Data Scientist,sql,SQL,Internship Junior Data Analyst,Rezultize,Chennai,Fresher,On-site,0.0,False,Undisclosed
3456,Data Scientist,pyspark,PySpark,Sr Analyst - Data Engineering,LatentView,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3456,Data Scientist,t-sql,SQL,Sr Analyst - Data Engineering,LatentView,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3457,Data Scientist,data engineering,Data Engineering,Lead Data Engineer (Integration Specialist),Hitachi Digital Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3458,Data Scientist,python,Python,Lead-Data Modelling and Engineering,Allianz,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3458,Data Scientist,data analysis,Data Analysis,Lead-Data Modelling and Engineering,Allianz,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3458,Data Scientist,power bi,Power BI,Lead-Data Modelling and Engineering,Allianz,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3459,Data Scientist,artificial intelligence,Artificial Intelligence,Sr Data Engineers - AI/ML,Photon,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3461,Data Scientist,sql queries,SQL,Sr. Data Engineer,Photon,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3463,Data Scientist,aws,AWS,Data Engineer,Hexaware Technologies,Chennai,Senior (6-8 Yrs),Hybrid,17.0,True,Senior (10-20 LPA)
3463,Data Scientist,python,Python,Data Engineer,Hexaware Technologies,Chennai,Senior (6-8 Yrs),Hybrid,17.0,True,Senior (10-20 LPA)
3463,Data Scientist,data engineering,Data Engineering,Data Engineer,Hexaware Technologies,Chennai,Senior (6-8 Yrs),Hybrid,17.0,True,Senior (10-20 LPA)
3464,Data Scientist,gcp,GCP,Data Engineer - GCP & Big Query(5-10yrs)-@Infosys,Infosys,Chennai,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
3464,Data Scientist,data engineering,Data Engineering,Data Engineer - GCP & Big Query(5-10yrs)-@Infosys,Infosys,Chennai,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
3465,Data Scientist,azure data engineering,Data Engineering,Azure Data Engineer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3466,Data Scientist,data analytics,Data Analysis,Data Platform Engineer,Accenture,Chennai,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
3466,Data Scientist,data modeling,Data Modeling,Data Platform Engineer,Accenture,Chennai,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
3466,Data Scientist,python,Python,Data Platform Engineer,Accenture,Chennai,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
3467,Data Scientist,pyspark,PySpark,Azure Data Engineer,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3467,Data Scientist,sql,SQL,Azure Data Engineer,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3468,Data Scientist,gcp,GCP,"Data Engineer (PySpark, BigQuery, ETL Pipelines, GCP Data Plex (includ",Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3468,Data Scientist,pyspark,PySpark,"Data Engineer (PySpark, BigQuery, ETL Pipelines, GCP Data Plex (includ",Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3469,Data Scientist,python,Python,Snowflake Data Engineer,Hexaware Technologies,Chennai,Senior (6-8 Yrs),Hybrid,0.0,False,Undisclosed
3469,Data Scientist,data modelling,Data Modeling,Snowflake Data Engineer,Hexaware Technologies,Chennai,Senior (6-8 Yrs),Hybrid,0.0,False,Undisclosed
3470,Data Scientist,data engineering,Data Engineering,Data Engineer,Globallogic,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3470,Data Scientist,data modeling,Data Modeling,Data Engineer,Globallogic,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3470,Data Scientist,advance sql,SQL,Data Engineer,Globallogic,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3470,Data Scientist,python,Python,Data Engineer,Globallogic,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3471,Data Scientist,pyspark,PySpark,Big Data Developer/ Big Data Engineer,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3471,Data Scientist,sql,SQL,Big Data Developer/ Big Data Engineer,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3472,Data Scientist,sql,SQL,Big Data Engineer,Capgemini,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3473,Data Scientist,gcp,GCP,Junior Data Engineer/Analyst (Python),360DigiTMG,Chennai,Fresher,On-site,0.0,False,Undisclosed
3473,Data Scientist,machine learning,Machine Learning,Junior Data Engineer/Analyst (Python),360DigiTMG,Chennai,Fresher,On-site,0.0,False,Undisclosed
3474,Data Scientist,data modeling,Data Modeling,Data Engineer,Cisco,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3474,Data Scientist,agile,Agile,Data Engineer,Cisco,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3475,Data Scientist,data analysis,Data Analysis,Sr. Associate Data and Analytics Engineer,Pfizer,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3475,Data Scientist,data modeling,Data Modeling,Sr. Associate Data and Analytics Engineer,Pfizer,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3477,Data Scientist,python,Python,Senior Lead Data Engineer - Snowflake,FIS,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3477,Data Scientist,google cloud platform,Cloud,Senior Lead Data Engineer - Snowflake,FIS,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3478,Data Scientist,tableau,Tableau,Tableau - Senior Data Engineer(Pharma),Tiger Analytics,Chennai,Senior (6-8 Yrs),Hybrid,27.5,True,Leadership (20+ LPA)
3478,Data Scientist,sql,SQL,Tableau - Senior Data Engineer(Pharma),Tiger Analytics,Chennai,Senior (6-8 Yrs),Hybrid,27.5,True,Leadership (20+ LPA)
3478,Data Scientist,data modeling,Data Modeling,Tableau - Senior Data Engineer(Pharma),Tiger Analytics,Chennai,Senior (6-8 Yrs),Hybrid,27.5,True,Leadership (20+ LPA)
3478,Data Scientist,data engineering,Data Engineering,Tableau - Senior Data Engineer(Pharma),Tiger Analytics,Chennai,Senior (6-8 Yrs),Hybrid,27.5,True,Leadership (20+ LPA)
3479,Data Scientist,aws,AWS,Senior Data Engineer,InfoCepts,Chennai,Mid (3-5 Yrs),On-site,22.5,True,Senior (10-20 LPA)
3480,Data Scientist,gcp,GCP,Data Engineer,Synechron,Chennai,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
3480,Data Scientist,python,Python,Data Engineer,Synechron,Chennai,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
3480,Data Scientist,pyspark,PySpark,Data Engineer,Synechron,Chennai,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
3481,Data Scientist,gcp,GCP,Gcp Data Engineer,HCLTech,Chennai,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
3481,Data Scientist,python,Python,Gcp Data Engineer,HCLTech,Chennai,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
3481,Data Scientist,sql,SQL,Gcp Data Engineer,HCLTech,Chennai,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
3482,Data Scientist,data engineering,Data Engineering,Gcp Data Engineer,HCLTech,Chennai,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
3482,Data Scientist,gcp,GCP,Gcp Data Engineer,HCLTech,Chennai,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
3483,Data Scientist,data engineering,Data Engineering,Google Data Engineer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,5.25,True,Junior (3-6 LPA)
3483,Data Scientist,sql,SQL,Google Data Engineer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,5.25,True,Junior (3-6 LPA)
3484,Data Scientist,data modeling,Data Modeling,Data Science Engineer,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3484,Data Scientist,python,Python,Data Science Engineer,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3484,Data Scientist,sql,SQL,Data Science Engineer,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3484,Data Scientist,data science,Data Science,Data Science Engineer,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3485,Data Scientist,data analysis,Data Analysis,"Data Analyst (NetSuite, Workday, Snowflake)",Leading Client,Chennai,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
3485,Data Scientist,sql,SQL,"Data Analyst (NetSuite, Workday, Snowflake)",Leading Client,Chennai,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
3487,Data Scientist,machine learning,Machine Learning,"Data Engineer - Python, PySpark, DBT",Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3487,Data Scientist,python,Python,"Data Engineer - Python, PySpark, DBT",Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3487,Data Scientist,sql,SQL,"Data Engineer - Python, PySpark, DBT",Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
